,0
1361,1857-04-01
1362,1857-05-01
1363,1857-06-01
1364,1857-07-01
1365,1857-08-01
1366,1857-09-01
1367,1857-10-01
1368,1857-11-01
1369,1857-12-01
1370,1858-01-01
1371,1858-02-01
1372,1858-03-01
1373,1858-04-01
1374,1858-05-01
1375,1858-06-01
1376,1858-07-01
1377,1858-08-01
1378,1858-09-01
1379,1858-10-01
1380,1858-11-01
1381,1858-12-01
1382,1859-01-01
1383,1859-02-01
1384,1859-03-01
1385,1859-04-01
1386,1859-05-01
1387,1859-06-01
1388,1859-07-01
1389,1859-08-01
1390,1859-09-01
1391,1859-10-01
1392,1859-11-01
1393,1859-12-01
1394,1860-01-01
1395,1860-02-01
1396,1860-03-01
1397,1860-04-01
1398,1860-05-01
1399,1860-06-01
1400,1860-07-01
1401,1860-08-01
1402,1860-09-01
1403,1860-10-01
1404,1860-11-01
1405,1860-12-01
1406,1861-01-01
1407,1861-02-01
1408,1861-03-01
1409,1861-04-01
1410,1861-05-01
1411,1861-06-01
1412,1861-07-01
1413,1861-08-01
1414,1861-09-01
1415,1861-10-01
1416,1861-11-01
1417,1861-12-01
1418,1862-01-01
1419,1862-02-01
1420,1862-03-01
1421,1862-04-01
1422,1862-05-01
1423,1862-06-01
1424,1862-07-01
1425,1862-08-01
1426,1862-09-01
1427,1862-10-01
1428,1862-11-01
1429,1862-12-01
1430,1863-01-01
1431,1863-02-01
1432,1863-03-01
1433,1863-04-01
1434,1863-05-01
1435,1863-06-01
1436,1863-07-01
1437,1863-08-01
1438,1863-09-01
1439,1863-10-01
1440,1863-11-01
1441,1863-12-01
1442,1864-01-01
1443,1864-02-01
1444,1864-03-01
1445,1864-04-01
1446,1864-05-01
1447,1864-06-01
1448,1864-07-01
1449,1864-08-01
1450,1864-09-01
1451,1864-10-01
1452,1864-11-01
1453,1864-12-01
1454,1865-01-01
1455,1865-02-01
1456,1865-03-01
1457,1865-04-01
1458,1865-05-01
1459,1865-06-01
1460,1865-07-01
1461,1865-08-01
1462,1865-09-01
1463,1865-10-01
1464,1865-11-01
1465,1865-12-01
1466,1866-01-01
1467,1866-02-01
1468,1866-03-01
1469,1866-04-01
1470,1866-05-01
1471,1866-06-01
1472,1866-07-01
1473,1866-08-01
1474,1866-09-01
1475,1866-10-01
1476,1866-11-01
1477,1866-12-01
1478,1867-01-01
1479,1867-02-01
1480,1867-03-01
1481,1867-04-01
1482,1867-05-01
1483,1867-06-01
1484,1867-07-01
1485,1867-08-01
1486,1867-09-01
1487,1867-10-01
1488,1867-11-01
1489,1867-12-01
1490,1868-01-01
1491,1868-02-01
1492,1868-03-01
1493,1868-04-01
1494,1868-05-01
1495,1868-06-01
1496,1868-07-01
